Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,AUD,NCM,"2021-02-21, 18:06:50","2,000",24.34,24.37,-48680,-38.944,48718.944,0,60,O
Trades,Data,Order,Stocks,AUD,NCM,"2021-04-06, 20:06:30","-2,000",25.69,25.91,51380,-41.104,-48718.944,2619.952,-440,C;P
Trades,SubTotal,,Stocks,AUD,NCM,,0,,,2700,-80.048,0,2619.952,-380,
Trades,Data,Order,Stocks,AUD,TYR,"2021-02-02, 18:12:18","10,000",2.65,2.62,-26500,-21.2,26521.2,0,-300,O
Trades,Data,Order,Stocks,AUD,TYR,"2021-02-21, 18:17:59","-10,000",2.9,3.04,29000,-23.2,-26521.2,2455.6,-1400,C
Trades,SubTotal,,Stocks,AUD,TYR,,0,,,2500,-44.4,0,2455.6,-1700,
Trades,Total,,Stocks,AUD,,,,,,5200,-124.448,0,5075.552,-2080, 
Trades,Total,,Stocks,USD,,,,,,3346.078,-96.63961408,689.0347872,3938.473173,-1624.3128, 
Trades,Data,Order,Stocks,CAD,SSRM,"2021-02-18, 09:30:05","3,000",19.5,19.1,-58500,-30,58530,0,-1200,O;P
Trades,Data,Order,Stocks,CAD,SSRM,"2021-04-06, 12:44:26",-100,19.8,19.53,1980,-1,-1951,28,27,C
Trades,Data,Order,Stocks,CAD,SSRM,"2021-04-06, 12:44:36","-2,900",19.78551724,19.53,57378,-29,-56579,770,741,C;P
Trades,SubTotal,,Stocks,CAD,SSRM,,0,,,858,-60,0,798,-432,
Trades,Total,,Stocks,CAD,,,,,,858,-60,0,798,-432, 
Trades,Total,,Stocks,USD,,,,,,1094.05998,-47.5377,-411.4659,635.05638,-335.35392, 
Trades,Data,Order,Stocks,EUR,ABN,"2021-02-01, 04:10:41","3,000",8.72,8.678,-26160,-26.16,26186.16,0,-126,O
