Instrument,Currency,Result,Quantity,EntryDt,Entry,Closure Dt,Closure,Result in BC,Dividends,Multiplier,Type
MUR 6 7/8 08/15/24,USD,15000.0,10000.0,2021-02-04,100.5,2021-03-29,102.0,15000.0,,1.0,Bonds
SIG 4.7 06/15/24,USD,6250.0,50000.0,2021-03-10,100.25,2021-04-06,100.375,6250.0,,1.0,Bonds
GME 05MAR21 45.0 C,USD,-11420.0,-5.0,2021-02-12,12.8,2021-03-05,0.86,-11420.0,,100.0,Equity and Index Options
GME 07MAY21 250.0 C,USD,-1121.0,-1.0,2021-04-19,12.2,2021-05-03,0.99,-1121.0,,100.0,Equity and Index Options
GME 19MAR21 200.0 C,USD,-8050.0,-3.0,2021-03-08,29.0,2021-03-19,0.0,-8050.0,,100.0,Equity and Index Options
GME 21MAY21 140.0 P,USD,-484.99999999999994,-1.0,2021-05-10,5.5,2021-05-17,0.65,-484.99999999999994,,100.0,Equity and Index Options
NESN 19MAR21 98.0 P,CHF,-200.0,-2.0,2021-02-18,1.0,2021-03-19,0.0,-218.00000000000003,,100.0,Equity and Index Options
QRVO 20AUG21 140.0 P,USD,-3064.0,-13.0,2021-02-04,10.8,2021-04-01,0.6738461538461539,-3064.0,,100.0,Equity and Index Options
TSLA 16APR21 500.0 P,USD,-2209.0,-1.0,2021-03-04,24.0,2021-04-01,1.91,-2209.0,,100.0,Equity and Index Options
TSLA 16JUL21 400.0 P,USD,-840.0,-1.0,2021-05-13,11.4,2021-05-26,3.0,-840.0,,100.0,Equity and Index Options
TSLA 19MAR21 700.0 P,USD,2445.9999999999995,1.0,2021-01-07,54.0,2021-02-23,78.46,2445.9999999999995,,100.0,Equity and Index Options
AUD.USD,USD,-2649.99999999993,1000000.0,2021-03-23,0.76789,2021-03-23,0.76524,-2649.99999999993,,1.0,Forex
EUR.JPY,JPY,-179999.9999999997,-500000.0,2021-02-08,127.06,2021-02-08,126.7,-1619.9999999999973,,1.0,Forex
EUR.USD,USD,39.987499999977196,125000.0,2021-01-07,1.2149301000000001,2021-02-22,1.21525,39.987499999977196,,1.0,Forex
EUR.USD,USD,103.7374999999785,125000.0,2021-01-07,1.2149301000000001,2021-02-22,1.21576,103.7374999999785,,1.0,Forex
EUR.USD,USD,167.4874999999798,125000.0,2021-01-07,1.2149301000000001,2021-02-22,1.21627,167.4874999999798,,1.0,Forex
EUR.USD,USD,228.73749999999248,125000.0,2021-01-07,1.2149301000000001,2021-02-22,1.21676,228.73749999999248,,1.0,Forex
EUR.USD,USD,289.98749999997744,125000.0,2021-01-07,1.2149301000000001,2021-02-22,1.21725,289.98749999997744,,1.0,Forex
EUR.USD,USD,354.98749999998694,125000.0,2021-01-07,1.2149301000000001,2021-02-23,1.21777,354.98749999998694,,1.0,Forex
EUR.USD,USD,118.32500000000246,125000.0,2021-01-07,1.2149034,2021-02-23,1.21585,118.32500000000246,,1.0,Forex
EUR.USD,USD,418.32499999999715,125000.0,2021-01-07,1.2149034,2021-02-25,1.21825,418.32499999999715,,1.0,Forex
EUR.USD,USD,1078.3249999999912,250000.0,2021-01-07,1.1849,2021-03-09,1.204215,1078.3249999999912,,1.0,Forex
GBP.USD,USD,1265.9999999999673,-300000.0,2021-02-18,1.3971,2021-02-19,1.40132,1265.9999999999673,,1.0,Forex
NZD.USD,USD,1241.0000000000032,200000.0,2021-03-23,0.700615,2021-04-05,0.70682,1241.0000000000032,,1.0,Forex
USD.CAD,CAD,-442.9999999999934,-100000.0,2021-02-18,1.26732,2021-02-19,1.26289,-358.8299999999947,,1.0,Forex
6AH1,USD,1919.999999999933,5.0,2021-01-07,0.7657000000000002,2021-01-28,0.77281,1919.999999999933,,100000.0,Futures
6AH1,USD,2090.000000000003,3.0,2021-01-07,0.7640333333333333,2021-02-08,0.771,2090.000000000003,,100000.0,Futures
6AH1,USD,2544.999800000014,7.0,2021-01-07,0.7673249999999999,2021-03-09,0.772385714,2544.999800000014,,100000.0,Futures
6EM1,USD,287.4999999999961,4.0,2021-03-17,1.191925,2021-04-14,1.1925,287.4999999999961,,125000.0,Futures
S30YK1,USD,121.99999999999989,1.0,2021-04-15,22.23,2021-05-20,23.45,121.99999999999989,,100.0,Futures
ZB   JUN 21,USD,-906.25,-1.0,2021-04-15,158.75,2021-04-16,157.84375,-906.25,,1000.0,Futures
ZN   JUN 21,USD,-578.125,-1.0,2021-04-15,132.5,2021-04-28,131.921875,-578.125,,1000.0,Futures
AUD 09APR21 0.76 P,USD,-1200.0,-3.0,2021-03-23,0.004,2021-04-09,0.0,-1200.0,,100000.0,Options On Futures
EUR 03MAR21 1.215 C,USD,-1274.9999999999998,-8.0,2021-02-18,0.002875,2021-02-26,0.0016,-1274.9999999999998,,125000.0,Options On Futures
EUR 07APR21 1.19 P,USD,-550.0,-1.0,2021-03-18,0.0044,2021-04-07,0.0,-550.0,,125000.0,Options On Futures
