Instrument,Currency,Result,Quantity,Entry Dt,Entry,Closure Dt,Closure,Result in BC,Dividends,Multiplier,Type
MUR 6 7/8 08/15/24,USD,15000.0,10000.0,2021-02-04,100.5,2021-03-29,102.0,15000.0,,1.0,Bonds
SIG 4.7 06/15/24,USD,6250.0,50000.0,2021-03-10,100.25,2021-04-06,100.375,6250.0,,1.0,Bonds
CI 16APR21 190.0 P,USD,170.00000000000003,1.0,2021-02-25,4.3,2021-02-22,6.0,170.00000000000003,,100.0,Equity and Index Options
GME 05FEB21 400.0 C,USD,-8690.0,-2.0,2021-02-01,43.45,2021-02-05,0.0,-8690.0,,100.0,Equity and Index Options
GME 05MAR21 45.0 C,USD,2560.0,2.0,2021-03-05,0.0,2021-02-12,12.8,2560.0,,100.0,Equity and Index Options
GME 07MAY21 250.0 C,USD,-1121.0,-1.0,2021-04-19,12.2,2021-05-03,0.99,-1121.0,,100.0,Equity and Index Options
GME 12FEB21 200.0 C,USD,2250.0,1.0,2021-02-12,0.0,2021-02-02,22.5,2250.0,,100.0,Equity and Index Options
GME 19MAR21 200.0 C,USD,5800.0,2.0,2021-03-19,0.0,2021-03-08,29.0,5800.0,,100.0,Equity and Index Options
GME 21MAY21 140.0 P,USD,484.99999999999994,1.0,2021-05-17,0.65,2021-05-10,5.5,484.99999999999994,,100.0,Equity and Index Options
NESN 19MAR21 98.0 P,CHF,200.0,2.0,2021-03-19,0.0,2021-02-18,1.0,218.00000000000003,,100.0,Equity and Index Options
NVT 19MAR21 22.5 P,USD,700.0,10.0,2021-03-19,0.0,2021-02-12,0.7,700.0,,100.0,Equity and Index Options
QRVO 20AUG21 140.0 P,USD,-2364.0,-3.0,2021-02-04,10.8,2021-04-01,2.92,-2364.0,,100.0,Equity and Index Options
TSLA 16APR21 500.0 P,USD,2209.0,1.0,2021-04-01,1.91,2021-03-04,24.0,2209.0,,100.0,Equity and Index Options
TSLA 16JUL21 400.0 P,USD,840.0,1.0,2021-05-26,3.0,2021-05-13,11.4,840.0,,100.0,Equity and Index Options
TSLA 19MAR21 700.0 P,USD,2445.9999999999995,1.0,2021-01-07,54.0,2021-02-23,78.46,2445.9999999999995,,100.0,Equity and Index Options
AUD.USD,USD,2649.99999999993,-1000000.0,2021-03-23,0.76524,2021-03-23,0.76789,2649.99999999993,,1.0,Forex
EUR.JPY,JPY,-179999.9999999997,-500000.0,2021-02-08,127.06,2021-02-08,126.7,-1619.9999999999973,,1.0,Forex
EUR.USD,USD,2984.95714285707,625000.0,2021-01-13,1.2116925642857144,2021-02-22,1.216258,2984.95714285707,,1.0,Forex
EUR.USD,USD,1006.2267857142704,250000.0,2021-01-13,1.2106400857142858,2021-02-23,1.21681,1006.2267857142704,,1.0,Forex
EUR.USD,USD,1966.2285714285576,250000.0,2021-01-13,1.2106400857142858,2021-02-25,1.218505,1966.2285714285576,,1.0,Forex
EUR.USD,USD,-3157.512500000015,125000.0,2021-01-13,1.2149301000000001,2021-03-09,1.18967,-3157.512500000015,,1.0,Forex
GBP.USD,USD,-1265.9999999999673,300000.0,2021-02-19,1.40132,2021-02-18,1.3971,-1265.9999999999673,,1.0,Forex
NZD.USD,USD,713.0000000000081,-100000.0,2021-03-24,0.69705,2021-03-23,0.70418,713.0000000000081,,1.0,Forex
NZD.USD,USD,1954.0000000000114,200000.0,2021-03-24,0.69705,2021-04-05,0.70682,1954.0000000000114,,1.0,Forex
USD.CAD,CAD,-442.9999999999934,-100000.0,2021-02-18,1.26732,2021-02-19,1.26289,-358.8299999999947,,1.0,Forex
6AH1,USD,285.00000000000193,-1.0,2021-02-19,0.771,2021-01-07,0.77385,285.00000000000193,,100000.0,Futures
6AH1,USD,1524.9999999999986,2.0,2021-02-19,0.770375,2021-01-21,0.778,1524.9999999999986,,100000.0,Futures
6AH1,USD,1094.999999999946,3.0,2021-02-19,0.7657000000000002,2021-01-28,0.76935,1094.999999999946,,100000.0,Futures
6AH1,USD,-1390.0000000000023,-2.0,2021-02-19,0.771,2021-01-29,0.76405,-1390.0000000000023,,100000.0,Futures
6AH1,USD,-739.9999999999962,-1.0,2021-02-19,0.7847,2021-02-18,0.7773,-739.9999999999962,,100000.0,Futures
6AH1,USD,2089.999799999953,6.0,2021-02-19,0.76685,2021-03-09,0.770333333,2089.999799999953,,100000.0,Futures
6EM1,USD,937.5000000000077,-1.0,2021-04-14,1.1925,2021-03-17,1.2,937.5000000000077,,125000.0,Futures
6EM1,USD,112.50000000001536,-1.0,2021-04-14,1.1925,2021-03-22,1.1934,112.50000000001536,,125000.0,Futures
6EM1,USD,-1337.4999999999914,-2.0,2021-04-14,1.1925,2021-03-23,1.18715,-1337.4999999999914,,125000.0,Futures
S30YK1,USD,-121.99999999999989,-1.0,2021-05-20,23.45,2021-04-15,22.23,-121.99999999999989,,100.0,Futures
ZB   JUN 21,USD,906.25,1.0,2021-04-16,157.84375,2021-04-15,158.75,906.25,,1000.0,Futures
