Statement,Header,Field Name,Field Value,,,,,,,,,,,,,
Statement,Data,BrokerName,,,,,,,,,,,,,,
Statement,Data,BrokerAddress,,,,,,,,,,,,,,
Statement,Data,Title,Activity Statement,,,,,,,,,,,,,
Statement,Data,Period,"January 4, 2021 - June 9, 2021",,,,,,,,,,,,,
Statement,Data,WhenGenerated,"2021-06-10, 08:37:10 EDT",,,,,,,,,,,,,
Account Information,Header,Field Name,Field Value,,,,,,,,,,,,,
Account Information,Data,Name,,,,,,,,,,,,,,
Account Information,Data,Account,,,,,,,,,,,,,,
Account Information,Data,Account Type,Individual,,,,,,,,,,,,,
Account Information,Data,Customer Type,Individual,,,,,,,,,,,,,
Account Information,Data,Account Capabilities,Margin,,,,,,,,,,,,,
Account Information,Data,Base Currency,USD,,,,,,,,,,,,,
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change,,,,,,,,,
Net Asset Value,Data,Cash ,175015.4543,566019.8058,-18397.36923,547622.4366,372606.9823,,,,,,,,,
Net Asset Value,Data,Stock,6187.5,23673.419,-90768,-67094.581,-73282.081,,,,,,,,,
Net Asset Value,Data,Options,0,9997.84,-3924.5,6073.34,6073.34,,,,,,,,,
Net Asset Value,Data,Bonds,296815.5,7790,0,7790,-289025.5,,,,,,,,,
Net Asset Value,Data,Interest Accruals,6309.52,173.19,-27.9953159,145.1946841,-6164.325316,,,,,,,,,
Net Asset Value,Data,    Broker Interest Accruals,0,0,-27.9953159,-27.9953159,-27.9953159,,,,,,,,,
Net Asset Value,Data,    Bond Interest Accruals,6309.52,173.19,0,173.19,-6136.33,,,,,,,,,
Net Asset Value,Data,Total,484327.9743,607654.2548,-113117.8645,494536.3903,10208.41601,,,,,,,,,
Net Asset Value,Header,Time Weighted Rate of Return,,,,,,,,,,,,,,
Net Asset Value,Data,2.11%,,,,,,,,,,,,,,
Change in NAV,Header,Field Name,Field Value,,,,,,,,,,,,,
Change in NAV,Data,Starting Value,484327.9743,,,,,,,,,,,,,
Change in NAV,Data,Mark-to-Market,10752.13594,,,,,,,,,,,,,
Change in NAV,Data,Dividends,2117.819395,,,,,,,,,,,,,
Change in NAV,Data,Withholding Tax,-351.34544,,,,,,,,,,,,,
Change in NAV,Data,Change in Dividend Accruals,1.3536,,,,,,,,,,,,,
Change in NAV,Data,Interest,6758.527732,,,,,,,,,,,,,
Change in NAV,Data,Change in Interest Accruals,-6167.354483,,,,,,,,,,,,,
Change in NAV,Data,Other Fees,-1.52,,,,,,,,,,,,,
Change in NAV,Data,Commissions,-2277.02103,,,,,,,,,,,,,
Change in NAV,Data,Transaction Fees,-625.8553705,,,,,,,,,,,,,
Change in NAV,Data,Other FX Translations,1.6755671,,,,,,,,,,,,,
Change in NAV,Data,Ending Value,494536.3903,,,,,,,,,,,,,
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code,,,
Mark-to-Market Performance Summary,Data,Stocks,3436.T,0,0,--,--,311.5436,905.5543,-38.41555432,0,1178.682346,,,,
Mark-to-Market Performance Summary,Data,Stocks,700,0,0,--,--,605.493,552.227,-59.34868149,0,1098.371319,,,,
Mark-to-Market Performance Summary,Data,Stocks,968,0,0,--,--,8853.7976,-489.2232,-349.3700715,0,8015.204328,,,,
Mark-to-Market Performance Summary,Data,Stocks,9888,0,1000,--,183.7,-2536.055,-977.74,-49.59418905,0,-3563.389189,,,,
Mark-to-Market Performance Summary,Data,Stocks,AAPL,0,0,--,--,1081,-523,-4.789106,0,553.210894,,,,
