Instrument,Currency,Result,Quantity,EntryDt,Entry,Closure Dt,Closure,Result in BC,Multiplier,Type
NCM,AUD,2700.0000000000027,2000.0,"2021-02-21, 18:06:50",24.34,"2021-04-06, 20:06:30",25.69,2082.6450000000023,1.0,Stocks
TYR,AUD,2500.0,10000.0,"2021-02-02, 18:12:18",2.65,"2021-02-21, 18:17:59",2.9,1928.375,1.0,Stocks
SSRM,CAD,30.00000000000007,100.0,"2021-02-18, 09:30:05",19.5,"2021-04-06, 12:44:26",19.8,24.300000000000058,1.0,Stocks
SSRM,CAD,827.9999960000023,2900.0,"2021-02-18, 09:30:05",19.5,"2021-04-06, 12:44:36",19.78551724,670.6799967600019,1.0,Stocks
ABN,EUR,839.9999999999981,3000.0,"2021-02-01, 04:10:41",8.72,"2021-02-16, 03:30:25",9.0,1018.1807999999977,1.0,Stocks
AGS,EUR,442.499999999999,250.0,"2021-01-28, 05:53:06",42.53,"2021-02-03, 03:09:50",44.3,536.3630999999988,1.0,Stocks
BN,EUR,412.00000000000045,200.0,"2021-01-28, 05:54:19",55.14,"2021-02-22, 03:00:01",57.2,499.39344000000057,1.0,Stocks
DG,EUR,652.3799999999994,200.0,"2021-01-28, 05:53:41",78.0,"2021-02-03, 03:08:07",81.2619,790.7628455999993,1.0,Stocks
INN1d,EUR,1358.004000499998,3500.0,"2021-02-01, 04:09:15",7.488998857,"2021-02-03, 03:04:56",7.877,1646.0638090860577,1.0,Stocks
LIGHT,EUR,86.99999999999974,300.0,"2021-01-28, 05:52:33",39.79,"2021-03-11, 06:52:02",40.08,105.45443999999969,1.0,Stocks
PRX,EUR,1050.0,300.0,"2021-02-17, 03:00:14",106.0,"2021-02-18, 05:41:55",109.5,1272.726,1.0,Stocks
R6Cd,EUR,3642.0979800000027,3000.0,"2021-02-04, 06:42:02",15.10627067,"2021-02-22, 03:00:18",16.32030333,4414.659803517604,1.0,Stocks
SGO,EUR,533.9600000000005,250.0,"2021-01-28, 05:52:03",40.29,"2021-02-03, 03:06:34",42.42584,647.2235952000007,1.0,Stocks
SOLB,EUR,281.9999999999993,100.0,"2021-01-28, 05:50:37",92.92,"2021-02-03, 03:07:09",95.74,341.8178399999992,1.0,Stocks
UNVB,EUR,166.80000000000064,800.0,"2021-02-05, 03:45:14",46.1315,"2021-03-15, 10:14:44",46.34,202.1816160000008,1.0,Stocks
VIV,EUR,869.9999999999975,1000.0,"2021-02-22, 03:00:15",29.28,"2021-05-18, 03:00:29",30.15,1054.544399999997,1.0,Stocks
VOW3d,EUR,3977.9999999999973,300.0,"2021-01-18, 04:22:31",152.36,"2021-02-03, 03:09:40",165.62,4821.813359999997,1.0,Stocks
RB.,GBP,257.99999999999983,300.0,"2021-02-23, 03:00:15",58.88,"2021-02-25, 05:02:40",59.74,364.08959999999973,1.0,Stocks
700,HKD,9000.0,200.0,"2021-03-25, 03:02:42",608.0,"2021-04-06, 21:20:27",653.0,1170.0,1.0,Stocks
968,HKD,33599.99999999999,20000.0,"2021-03-05, 01:26:20",13.14,"2021-03-12, 02:44:46",14.82,4367.999999999999,1.0,Stocks
968,HKD,24079.999999999985,14000.0,"2021-03-05, 01:26:20",12.72,"2021-04-22, 22:44:38",14.44,3130.3999999999983,1.0,Stocks
968,HKD,7199.999999999989,20000.0,"2021-03-05, 01:26:20",13.34,"2021-05-27, 21:43:29",13.7,935.9999999999986,1.0,Stocks
3436.T,JPY,129000.0,1000.0,"2021-02-16, 19:00:00",2482.0,"2021-02-24, 20:25:49",2611.0,1161.0,1.0,Stocks
AAPL,USD,558.0000000000041,200.0,"2021-02-01, 15:07:28",134.51,"2021-02-04, 16:36:01",137.3,558.0000000000041,1.0,Stocks
AAPL,USD,0.0,200.0,"2021-02-01, 15:07:28",132.0,"2021-04-09, 13:11:23",132.0,0.0,1.0,Stocks
CX,USD,2374.3000000000025,5000.0,"2021-02-03, 04:16:07",6.349939999999999,"2021-02-25, 07:44:55",6.8248,2374.3000000000025,1.0,Stocks
CX,USD,872.8000000000015,4000.0,"2021-02-03, 04:16:07",6.885,"2021-04-05, 11:27:19",7.1032,872.8000000000015,1.0,Stocks
DBA,USD,-479.4899999999984,2000.0,"2021-02-17, 06:26:56",17.0,"2021-03-31, 16:34:17",16.760255,-479.4899999999984,1.0,Stocks
ETN,USD,400.0,100.0,"2021-02-08, 10:55:09",120.0,"2021-02-12, 16:27:20",124.0,400.0,1.0,Stocks
ETN,USD,395.0000000000003,100.0,"2021-02-08, 10:55:09",120.0,"2021-02-12, 16:28:45",123.95,395.0000000000003,1.0,Stocks
GFI,USD,1559.9999999999986,3000.0,"2021-02-03, 04:28:08",9.18,"2021-03-17, 16:41:20",9.7,1559.9999999999986,1.0,Stocks
GME,USD,-7313.95,100.0,"2021-02-01, 08:40:27",323.1395,"2021-02-01, 10:22:20",250.0,-7313.95,1.0,Stocks
GME,USD,-768.3000000000004,30.0,"2021-02-01, 08:40:27",173.0,"2021-02-02, 07:42:25",147.39,-768.3000000000004,1.0,Stocks
GME,USD,3860.0,-20.0,"2021-02-01, 08:40:27",45.0,"2021-03-09, 12:33:26",238.0,3860.0,1.0,Stocks
GME,USD,43403.70000800001,-220.0,"2021-02-01, 08:40:27",81.7090909090909,"2021-03-10, 04:00:56",278.9986364,43403.70000800001,1.0,Stocks
GME,USD,-2830.3600000000015,100.0,"2021-02-01, 08:40:27",273.7436,"2021-03-11, 09:50:07",245.44,-2830.3600000000015,1.0,Stocks
GME,USD,-374.3600000000015,100.0,"2021-02-01, 08:40:27",273.7436,"2021-03-11, 10:01:14",270.0,-374.3600000000015,1.0,Stocks
GME,USD,1014.9000000000001,50.0,"2021-02-01, 08:40:27",250.0,"2021-03-12, 06:02:40",270.298,1014.9000000000001,1.0,Stocks
GME,USD,1042.0000000000016,-100.0,"2021-02-01, 08:40:27",282.0,"2021-03-12, 10:50:09",292.42,1042.0000000000016,1.0,Stocks
GME,USD,77.00000000000102,50.0,"2021-02-01, 08:40:27",273.46,"2021-03-15, 09:56:18",275.0,77.00000000000102,1.0,Stocks
GME,USD,-2280.5999999999985,50.0,"2021-02-01, 08:40:27",246.67199999999997,"2021-03-16, 09:31:51",201.06,-2280.5999999999985,1.0,Stocks
GME,USD,-1984.599999999999,50.0,"2021-02-01, 08:40:27",246.67199999999997,"2021-03-16, 09:32:15",206.98,-1984.599999999999,1.0,Stocks
GME,USD,-1781.5999999999988,50.0,"2021-02-01, 08:40:27",246.67199999999997,"2021-03-16, 09:32:36",211.04,-1781.5999999999988,1.0,Stocks
GME,USD,-4167.199999999997,100.0,"2021-02-01, 08:40:27",246.67199999999997,"2021-03-16, 09:33:54",205.0,-4167.199999999997,1.0,Stocks
GME,USD,-81.49999999999977,50.0,"2021-02-01, 08:40:27",181.63,"2021-03-16, 10:26:04",180.0,-81.49999999999977,1.0,Stocks
GME,USD,475.0,50.0,"2021-02-01, 08:40:27",175.5,"2021-03-16, 10:33:23",185.0,475.0,1.0,Stocks
GME,USD,346.0000000000008,-50.0,"2021-02-01, 08:40:27",200.13,"2021-03-16, 14:44:48",207.05,346.0000000000008,1.0,Stocks
GME,USD,488.59999999999957,-100.0,"2021-02-01, 08:40:27",200.13,"2021-03-16, 18:57:14",205.016,488.59999999999957,1.0,Stocks
GME,USD,506.1700000000002,-100.0,"2021-02-01, 08:40:27",200.13,"2021-03-16, 18:58:31",205.1917,506.1700000000002,1.0,Stocks
GME,USD,176.0000000000005,-50.0,"2021-02-01, 08:40:27",211.98,"2021-03-17, 10:07:24",215.5,176.0000000000005,1.0,Stocks
GME,USD,-404.60000000000065,-50.0,"2021-02-01, 08:40:27",213.592,"2021-03-17, 15:45:10",205.5,-404.60000000000065,1.0,Stocks
GME,USD,-588.6800000000007,-50.0,"2021-02-01, 08:40:27",214.27360000000002,"2021-03-18, 09:56:31",202.5,-588.6800000000007,1.0,Stocks
GME,USD,-731.1800000000005,-50.0,"2021-02-01, 08:40:27",214.27360000000002,"2021-03-18, 15:56:13",199.65,-731.1800000000005,1.0,Stocks
GME,USD,-1025.8849999999995,-50.0,"2021-02-01, 08:40:27",211.0177,"2021-03-19, 09:36:03",190.5,-1025.8849999999995,1.0,Stocks
GME,USD,-1275.8849999999995,-50.0,"2021-02-01, 08:40:27",211.0177,"2021-03-19, 09:40:46",185.5,-1275.8849999999995,1.0,Stocks
