Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,AUD,NCM,"2021-02-21, 18:06:50",2000.0,24.34,24.37,-48680.0,-38.944,48718.944,0,60,O
Trades,Data,Order,Stocks,AUD,NCM,"2021-04-06, 20:06:30",-2000.0,25.69,25.91,51380.0,-41.104,-48718.944,2619.952,-440,C;P
Trades,Data,Order,Stocks,AUD,TYR,"2021-02-02, 18:12:18",10000.0,2.65,2.62,-26500.0,-21.2,26521.2,0,-300,O
Trades,Data,Order,Stocks,AUD,TYR,"2021-02-21, 18:17:59",-10000.0,2.9,3.04,29000.0,-23.2,-26521.2,2455.6,-1400,C
Trades,Data,Order,Stocks,CAD,SSRM,"2021-02-18, 09:30:05",3000.0,19.5,19.1,-58500.0,-30,58530,0,-1200,O;P
Trades,Data,Order,Stocks,CAD,SSRM,"2021-04-06, 12:44:26",-100.0,19.8,19.53,1980.0,-1,-1951,28,27,C
Trades,Data,Order,Stocks,CAD,SSRM,"2021-04-06, 12:44:36",-2900.0,19.78551724,19.53,57378.0,-29,-56579,770,741,C;P
Trades,Data,Order,Stocks,EUR,ABN,"2021-02-01, 04:10:41",3000.0,8.72,8.678,-26160.0,-26.16,26186.16,0,-126,O
Trades,Data,Order,Stocks,EUR,ABN,"2021-02-16, 03:30:25",-3000.0,9.0,9.124,27000.0,-27,-26186.16,786.84,-372,C
Trades,Data,Order,Stocks,EUR,AGS,"2021-01-28, 05:53:06",250.0,42.53,43.03,-10632.5,-10.6325,10643.1325,0,125,O
Trades,Data,Order,Stocks,EUR,AGS,"2021-02-03, 03:09:50",-250.0,44.3,44.37,11075.0,-11.075,-10643.1325,420.7925,-17.5,C
Trades,Data,Order,Stocks,EUR,BN,"2021-01-28, 05:54:19",200.0,55.14,55.28,-11028.0,-6.03783,11034.03783,0,28,O;P
Trades,Data,Order,Stocks,EUR,BN,"2021-02-22, 03:00:01",-200.0,57.2,57.42,11440.0,-11.44,-11034.03783,394.52217,-44,C;P
Trades,Data,Order,Stocks,EUR,DG,"2021-01-28, 05:53:41",200.0,78.0,78.68,-15600.0,-7.8,15607.8,0,136,O
Trades,Data,Order,Stocks,EUR,DG,"2021-02-03, 03:08:07",-200.0,81.2619,81.3,16252.38,-14.22138,-15607.8,630.35862,244.38,C;O;P
Trades,Data,Order,Stocks,EUR,INN1d,"2021-02-01, 04:09:15",3500.0,7.488998857,7.7,-26211.496,-18.707518,26230.20352,0,-206.496,O;P
Trades,Data,Order,Stocks,EUR,INN1d,"2021-02-03, 03:04:56",-3500.0,7.877,7.7,27569.5,-27.5695,-26230.20352,1311.726982,619.5,C;P
Trades,Data,Order,Stocks,EUR,LIGHT,"2021-01-28, 05:52:33",300.0,39.79,40.74,-11937.0,-11.937,11948.937,0,285,O
Trades,Data,Order,Stocks,EUR,LIGHT,"2021-03-11, 06:52:02",-300.0,40.08,40.01,12024.0,-12.024,-11948.937,63.039,21,C;P
Trades,Data,Order,Stocks,EUR,PRX,"2021-02-17, 03:00:14",300.0,106.0,109.05,-31800.0,-29,31829,0,915,O
Trades,Data,Order,Stocks,EUR,PRX,"2021-02-18, 05:41:55",-300.0,109.5,108.4,32850.0,-29,-31829,992,330,C
Trades,Data,Order,Stocks,EUR,R6Cd,"2021-02-04, 06:42:02",3000.0,15.10627067,15.114,-45318.812,-35.317316,45354.12932,0,23.188,O;P
Trades,Data,Order,Stocks,EUR,R6Cd,"2021-02-22, 03:00:18",-3000.0,16.32030333,16.714,48960.91,-29,-45354.12932,3577.780684,-1181.09,C;P
Trades,Data,Order,Stocks,EUR,SGO,"2021-01-28, 05:52:03",250.0,40.29,41.61,-10072.5,-5.03625,10077.53625,0,330,O
Trades,Data,Order,Stocks,EUR,SGO,"2021-02-03, 03:06:34",-250.0,42.42584,43.16,10606.46,-7.59393,-10077.53625,521.32982,-43.54,C;O;P
Trades,Data,Order,Stocks,EUR,SOLB,"2021-01-28, 05:50:37",100.0,92.92,95.06,-9292.0,-4.646,9296.646,0,214,O
Trades,Data,Order,Stocks,EUR,SOLB,"2021-02-03, 03:07:09",-100.0,95.74,95.6,9574.0,-9.574,-9296.646,267.78,14,C
Trades,Data,Order,Stocks,EUR,UNVB,"2021-02-05, 03:45:14",800.0,46.1315,45.55,-36905.2,-29,36934.2,0,-465.2,O;P
Trades,Data,Order,Stocks,EUR,UNVB,"2021-03-15, 10:14:44",-800.0,46.34,46.145,37072.0,-29,-36934.2,108.799999,156,C;P
Trades,Data,Order,Stocks,EUR,VIV,"2021-02-22, 03:00:15",1000.0,29.28,29.63,-29280.0,-29,29309,0,350,O
Trades,Data,Order,Stocks,EUR,VIV,"2021-05-18, 03:00:29",-1000.0,30.15,29.61,30150.0,-29,-29309,812,540,C;P
