Instrument,Currency,Result,Quantity,Entry Dt,Entry,Closure Dt,Closure,Result in BC,Dividends,Multiplier,Type
MUR 6 7/8 08/15/24,USD,150.00000000000125,10000.0,2021-02-04,1.005,2021-03-29,1.02,150.00000000000125,87.85,1.0,Bonds
SIG 4.7 06/15/24,USD,62.499999999998664,50000.0,2021-03-10,1.0025,2021-04-06,1.00375,62.499999999998664,737.64,1.0,Bonds
CI 16APR21 190.0 P,USD,-170.00000000000003,-1.0,2021-02-22,6.0,2021-02-25,4.3,-170.00000000000003,,100.0,Equity and Index Options
GME 05FEB21 400.0 C,USD,-8690.0,-2.0,2021-02-01,43.45,2021-02-05,0.0,-8690.0,,100.0,Equity and Index Options
GME 05MAR21 45.0 C,USD,-2560.0,-2.0,2021-02-12,12.8,2021-03-05,0.0,-2560.0,,100.0,Equity and Index Options
GME 07MAY21 250.0 C,USD,-1121.0,-1.0,2021-04-19,12.2,2021-05-03,0.99,-1121.0,,100.0,Equity and Index Options
GME 12FEB21 200.0 C,USD,-2250.0,-1.0,2021-02-02,22.5,2021-02-12,0.0,-2250.0,,100.0,Equity and Index Options
GME 19MAR21 200.0 C,USD,-5800.0,-2.0,2021-03-08,29.0,2021-03-19,0.0,-5800.0,,100.0,Equity and Index Options
GME 21MAY21 140.0 P,USD,-484.99999999999994,-1.0,2021-05-10,5.5,2021-05-17,0.65,-484.99999999999994,,100.0,Equity and Index Options
NESN 19MAR21 98.0 P,CHF,-200.0,-2.0,2021-02-18,1.0,2021-03-19,0.0,-218.00000000000003,,100.0,Equity and Index Options
NVT 19MAR21 22.5 P,USD,-700.0,-10.0,2021-02-12,0.7,2021-03-19,0.0,-700.0,,100.0,Equity and Index Options
QRVO 20AUG21 140.0 P,USD,-2364.0,-3.0,2021-02-04,10.8,2021-04-01,2.92,-2364.0,,100.0,Equity and Index Options
TSLA 16APR21 500.0 P,USD,-2209.0,-1.0,2021-03-04,24.0,2021-04-01,1.91,-2209.0,,100.0,Equity and Index Options
TSLA 16JUL21 400.0 P,USD,-840.0,-1.0,2021-05-13,11.4,2021-05-26,3.0,-840.0,,100.0,Equity and Index Options
